ID,rrp,rrpla,tt0,tt0_Myr,mmpla,mmice,mmgas,Mp,Mp_earth,Mp_jup,Mp_Ms_ratio_q,log_Mp_Ms_ratio_q,transit_prob_rrpla,Rp_earth,Rp_m,Rp_jup,Rp_jup_err1,Rp_jup_err2,log_Rp_jup,log_Rp_jup_err1,log_Rp_jup_err2,gp_cgs,log_gp_cgs,G1,gas_frac,IceRock,cluster_map,pred3D_conf_margin
D25-7276,766385934514.2362,18873165700.786896,23381490162348.17,0.7409147134873428,2.9057876087018084e+25,1.4528486566804413e+25,4.431572585590878e+27,4.460630461677896e+27,746.6490009838799,2.3501741104730747,0.0022426498047651,-2.6492385372649627,0.0368618604334615,11.94702503763071,76198125.69000867,1.0658273050132696,0.8420453167682411,-0.4974224640092161,0.0276868420680492,0.2528625338010444,0.2730290739871521,5127.591181918669,3.7099133919954563,0.7435153368434584,0.9934857020018449,0.999937853313933,C,0.645108260571944
D25-7844,1217440147894.4316,50393043802.694786,30545569074423.27,0.9679306751598116,2.854443080511792e+25,1.427121090425533e+25,4.375613264481109e+27,4.4041576952862265e+27,737.1962263208842,2.320420282026463,0.0022142572625873,-2.6547719221965407,0.0138054768575578,11.95274842470408,76234629.45276262,1.0663379042796763,0.8418311794945348,-0.4970454496329936,0.0278948470079448,0.2527220081067741,0.272559419260029,5057.82731105708,3.703963997184087,0.6789741179364093,0.9935187536913883,0.9998592471340587,A2,0.9904569433231529
D24-0202,765220873424.8978,19999717073.381542,18297834269511.574,0.5798233791388311,2.9673730215037864e+25,1.4836797565728585e+25,4.6238166888361975e+27,4.653490419051235e+27,778.9311404123121,2.451786311407395,0.0023396130814737,-2.6308559590320995,0.0347854920870823,11.920008208481264,76025812.3536935,1.0634170586036689,0.8434350423663953,-0.4970361772385814,0.0267036226868501,0.2536133869698096,0.2735950377116729,5373.563792511947,3.730262408990718,0.7930021456164656,0.9936233391405397,0.9999908954509745,C,0.8717604605319682
D24-1087,873273933192.9296,26333453480.92965,20169000619383.02,0.6391170627482134,2.9313490414113467e+25,1.4656660192095415e+25,4.619181891923477e+27,4.64849538233759e+27,778.0950390575457,2.4491545744665912,0.0023371017507981,-2.63132237924311,0.0264188668039236,11.920788873517685,76030791.43529578,1.0634867039010767,0.8433432128451327,-0.4970659003911395,0.0267320645645681,0.2535798925019906,0.273592868817086,5367.0928059413545,3.7297391050242714,0.7744154245912355,0.9936939831056963,0.9999883992705065,C,0.33568037052765565
D24-1795,1143236118803.8115,47190609365.70054,21802330649767.41,0.6908741681803245,2.9273553362329234e+25,1.463664136619708e+25,4.6762588404799793e+27,4.7055323938423085e+27,787.6422606947053,2.479205686955906,0.0023657779757879,-2.6260260155891504,0.014742339828857,11.915114181697977,75994598.25086969,1.062980448873576,0.8441258084305551,-0.4976818495483703,0.0265252767298758,0.2538496143629302,0.2742473673463321,5438.123226265462,3.7354490443476154,0.7585476450972455,0.9937789072708039,0.9999815104487104,A2,0.7712255074302483
D24-2709,808540763075.4604,21634889624.48893,19526769699376.793,0.6187659929581715,2.914347692312005e+25,1.457166410856339e+25,4.5069578124079527e+27,4.536101289331073e+27,759.2817932662235,2.389937454863579,0.002280593911177,-2.641952039508892,0.0321563923863297,11.935865365430756,76126949.30071735,1.064831719643,0.842720336468352,-0.4972523576712312,0.0272809796010507,0.253195418859907,0.2732543841206353,5224.101600460506,3.718011614685524,0.7807452262246519,0.9935752146911565,0.9999897949558396,C,0.7823264684745297
D24-6188,934161149087.1494,29659297293.011658,21201054661674.89,0.6718208818691818,2.8941417187467297e+25,1.4470613037545802e+25,4.527248540310099e+27,4.556189957497566e+27,762.6443636800853,2.4005215792927115,0.0022906937946191,-2.6400329606556485,0.0234563885019595,11.931924801479475,76101816.38383609,1.0644801709818734,0.8430840386916724,-0.4972008899546957,0.0271375758604271,0.253341589606634,0.2733406539207677,5250.7035731726255,3.7202175010200147,0.7643508612604506,0.99364789057141,0.9999867932442652,C,0.08021377278663433
D25-5948,1156779891598.3186,46307985869.01621,29727964827367.3,0.942022359981979,2.875216675624748e+25,1.4375162901440138e+25,4.4941814022755184e+27,4.522933569031766e+27,757.0776955963587,2.3829997729355985,0.0022739736395333,-2.643214574068502,0.0150233266885718,11.938823885979566,76145818.74477768,1.0650956574830426,0.8425425974306734,-0.4973150539651417,0.0273886140202461,0.2531074089737848,0.2732080619153474,5206.355404533745,3.716533811287523,0.6860471348019668,0.9936430269608397,0.9998719515285802,A2,0.7905214680828809
D25-7900,998978895299.9976,34140633314.411663,28106885546175.098,0.8906534573660575,2.88507297274254e+25,1.4424649494760315e+25,4.506880102976791e+27,4.535730832704216e+27,759.2197838546108,2.389742272236152,0.0022804076584737,-2.6419875091398892,0.0203774778749147,11.935948467506131,76127479.32575412,1.0648391334100895,0.8427154338119709,-0.4972541188468343,0.0272840033153796,0.2531929668525483,0.2732530826652499,5223.6022181744775,3.717970097625869,0.7002895525643126,0.9936392323990213,0.9999008228235462,A2,0.18775599200468562
D25-8520,806470425263.2975,21823588546.416912,23881654988857.945,0.7567639804312731,2.9318918991624046e+25,1.465896601919336e+25,4.5690171262160406e+27,4.598336045207665e+27,769.699046769051,2.4227271049566204,0.0023118833812004,-2.636034076903114,0.0318783502777421,11.926706346583206,76068533.07850769,1.0640146181182186,0.8431185184729445,-0.4970177029273403,0.0269475946173635,0.253433417499757,0.2733668985449574,5303.912456888152,3.7245963472586765,0.7388165777383693,0.9936240155779437,0.9999326769165506,C,0.7677470325816209
D25-8539,1057157397026.4938,39778129716.85369,28245547360611.4,0.8950473851183677,2.919158614732817e+25,1.4595004412234286e+25,4.650990476821928e+27,4.680182062969256e+27,783.3989593534291,2.4658493482451296,0.0023530327113973,-2.628372035305661,0.0174895100637483,11.917928121357118,76012545.5580157,1.0632314882506533,0.8437387615703201,-0.4973951157773382,0.0266278300217732,0.2537160877545051,0.2739369691617755,5406.27232290676,3.73289791804731,0.6990598248679352,0.9937627242370977,0.9998919388875955,A2,0.44211990942616364
D24-4293,780337104922.9744,21866083560.158607,17838954910044.77,0.5652823697000016,3.017365535331497e+25,1.5086757788156494e+25,4.8182339034055257e+27,4.848407558758841e+27,811.5576242440562,2.5544823808002324,0.0024376106378878,-2.6130356634925165,0.0318163972110492,11.88474370531226,75800895.3524816,1.060271014274067,0.8474944476714728,-0.496860371919792,0.0254168888118478,0.2551080932733308,0.2745918426262684,5631.916046659375,3.7506561722803053,0.7976280061853955,0.993776584375873,0.9999907352057389,C,0.8001594127973357
D24-8485,690021003728.5105,16516425187.196384,16081527560321.07,0.5095928575151808,3.0319316457617036e+25,1.5159601871933735e+25,4.7153578027084704e+27,4.745677119166087e+27,794.3619428820741,2.500356754039035,0.0023859613469914,-2.622336596258416,0.0421217056424116,11.907444028588973,75945678.01434048,1.062296173198966,0.8452472839904387,-0.4976378664037399,0.0262456169841597,0.2542288237463354,0.2744598954722607,5491.5859239828005,3.739697783169782,0.8155951857523223,0.993611171662908,0.9999925649161184,C,0.6841434888777842
D25-1085,946473073996.9524,31923589165.413048,26402618487169.816,0.8366484931417414,2.943139951466048e+25,1.471504811326961e+25,4.712355152943008e+27,4.741786552457668e+27,793.7107148166563,2.4983069296404996,0.0023840053054085,-2.622692782443921,0.0217926623599623,11.908498033248469,75952400.45605873,1.0623902038837734,0.8451139947005399,-0.4977038451240301,0.0262840574881405,0.2541814450601365,0.2744767609623941,5486.112586318225,3.739264715976316,0.7155817739651399,0.9937931833942618,0.9999114394535904,A2,0.00743437810922476
D25-1475,559849076422.931,14960191696.945154,8634919091087.531,0.27362407442541675,3.527063859567233e+25,1.7618344226210462e+25,4.838515785045251e+27,4.8737864236409233e+27,815.8057017911893,2.567853753235471,0.0024503702481854,-2.6107682892700903,0.0465034148019681,11.879637470019642,75768327.78378527,1.059815472833118,0.8478936666970223,-0.4969846654025852,0.0252302557302918,0.2552819046135455,0.2748523945246175,5666.264098618609,3.7532968126658437,0.8963273114377481,0.9927631956901953,0.9980767291468842,C,0.6667265688211854
D25-2326,915550805811.7004,29806182009.943623,25873915909359.24,0.8198949194285763,2.9491207634654636e+25,1.4744988600474042e+25,4.70959112562887e+27,4.739082333263525e+27,793.2580652243855,2.496882156619349,0.0023826457180812,-2.622940529252758,0.0233407955359028,11.908855496929572,75954680.35941681,1.062422094212175,0.8450547984175495,-0.4977162225241284,0.0262970937395443,0.2541621918314436,0.2744747902802273,5482.65472495868,3.7389908966646708,0.7203932988047431,0.9937770214651778,0.9999165593767663,C,0.1180768020094698
D25-8271,1182698753083.397,51553798350.92132,28980254793876.53,0.918328858781293,2.94974454353325e+25,1.4747766680993478e+25,4.756950828978571e+27,4.7864482744139033e+27,801.186480937013,2.521837868500476,0.0024064596653664,-2.6186214131287686,0.0134946409819203,11.896623853045051,75876666.93472135,1.0613308752688602,0.8464717321619452,-0.497105917087449,0.0258507985120433,0.2546826394984317,0.2743985054897029,5548.845124313446,3.744202603243662,0.6925799865741595,0.9938372998632384,0.9998703650854102,A2,0.9029970275863128
D25-8725,854804921366.8324,25661400360.128178,24701561343257.84,0.7827452449887773,2.956149671104031e+25,1.478020225635305e+25,4.685792487809848e+27,4.715353984520888e+27,789.2862616786997,2.4843803922660106,0.0023707159298747,-2.6251204820736715,0.0271107574113903,11.91273299605446,75979411.04883534,1.0627680166848783,0.8444686265914243,-0.497699891479024,0.0264384761237535,0.2539661060113786,0.2743376661495793,5451.652674364381,3.7365281790753393,0.7311781819366147,0.993730800103644,0.9999261094258318,C,0.40416725477112614
D24-0071,1066198486101.4775,45372650834.81542,20311782484374.176,0.643641547024304,3.0564971552620084e+25,1.5282365731437312e+25,5.126552804127332e+27,5.157117775679952e+27,863.2315248367902,2.7171326531506597,0.0025928193945097,-2.5862277334040034,0.0153330252299513,11.835824725853392,75488890.10149294,1.055906816168144,0.8507096962962257,-0.4965981227635169,0.0236255933780673,0.2566377565800216,0.2759740237041786,6040.135664946776,3.7810466932363793,0.7730151599038544,0.9940732453897487,0.999984289999476,A2,0.570825897687472
D24-6215,1017536115417.6908,40931119028.32926,20002501695011.445,0.6338410302117856,3.048473549269242e+25,1.5242256979654403e+25,5.116723695451831e+27,5.147208430944523e+27,861.5728350146502,2.7119117128264083,0.0025878373207363,-2.587063028207028,0.0169968477900272,11.836111021101978,75490716.09258841,1.0559323573628996,0.8508281570611935,-0.4965298481132484,0.0236360983446227,0.2566600515470054,0.275911688238265,6028.237975028997,3.780190388500244,0.7760514867581921,0.9940774235390545,0.9999854660524254,A2,0.37694991681958
D24-7731,1000788668430.094,38824867518.94275,20217831365450.586,0.640664415717627,3.0278967341263847e+25,1.5139376029613668e+25,5.018935085147658e+27,5.049214052488921e+27,845.1699060106661,2.6602813764430566,0.0025385691566057,-2.5954110008931455,0.017918927853664,11.84747159436023,75563173.82882954,1.0569458656748942,0.850539013015397,-0.4963258589051845,0.0240527443171379,0.2564083595169122,0.2753841520083803,5902.134795326124,3.771009123869096,0.7739362552926196,0.9940032315868371,0.9999857801949815,A2,0.2986044269247241
D25-0272,676675496697.483,17704676903.152172,17397795259532.078,0.5513028639545491,3.168594727883928e+25,1.5842610580469666e+25,5.131270057759561e+27,5.1629560050384e+27,864.2087651967461,2.720208643328978,0.0025957546531113,-2.585736358803624,0.0392947018353176,11.835526744584335,75486989.5769589,1.0558802324310257,0.8506776996770974,-0.4966267201637118,0.0236146593491395,0.256635346805335,0.2760059390819947,6047.278025568647,3.7815599358946144,0.8021006777967948,0.9938628283394401,0.999954168877821,C,1.0394818053205181
D25-1209,992383954131.785,37220953174.64224,26320231442345.938,0.8340378052306239,2.9993034187695e+25,1.4995809856594473e+25,4.929511520482532e+27,4.959504554670227e+27,830.1537535854552,2.6130160983510153,0.0024934663422173,-2.603196489682615,0.0186910850115994,11.86079615582072,75648157.88182455,1.0581345868324366,0.8496308162423529,-0.4962665850206696,0.0245409102334618,0.2559840584500472,0.2749066103547523,5784.253302956646,3.762247303246979,0.7163294285504364,0.9939524132184835,0.9999056842469761,A2,0.23949761350953924
